venue_name,venue_capacity
Brentford Community Stadium,17250
Old Trafford,74879
King Power Stadium,32312
Turf Moor,21944
Stamford Bridge,40341
Vicarage Road Stadium,21577
Goodison Park,39414
Carrow Road,27244
Tottenham Hotspur Stadium,62850
Anfield,53394
Villa Park,42682
Etihad Stadium,53400
Elland Road,37890
Selhurst Park,25486
The American Express Community Stadium,"31,876"
Molineux Stadium,32050
St. Mary's Stadium,32384
Emirates Stadium,60704
London Stadium,60000
Craven Cottage,25700
St James' Park,52305
Vitality Stadium,"11,379"
The City Ground,"30,445"
Bramall Lane,"32,050"
Gtech Community Stadium,"17,250"
Kenilworth Road Stadium,"12,000"
Portman Road Stadium,"29,673"
St Mary's Stadium,32384